$Temperature file for segment 85
To the right of the sum of temperatures are individual temperatures starting with QWD then QSTR
JDAY,T(C),
    10.691,    6.11,
    10.712,    6.10,
    10.733,    6.09,
    10.754,    6.09,
    10.775,    6.09,
    10.796,    6.10,
    10.817,    6.11,
    10.838,    6.13,
    10.859,    6.14,
    10.880,    6.16,
    10.901,    6.17,
    10.922,    6.19,
    10.943,    6.19,
    10.964,    6.18,
    10.985,    6.17,
    11.006,    6.16,
    11.027,    6.15,
    11.048,    6.12,
    11.069,    6.07,
    11.090,    6.03,
    11.111,    5.98,
    11.132,    5.94,
    11.153,    5.91,
    11.174,    5.89,
    11.195,    5.86,
    11.216,    5.83,
    11.237,    5.81,
    11.258,    5.79,
    11.279,    5.78,
    11.300,    5.77,
    11.321,    5.75,
    11.342,    5.74,
    11.363,    5.73,
    11.384,    5.72,
    11.405,    5.71,
    11.426,    5.70,
    11.447,    5.69,
    11.468,    5.69,
    11.489,    5.69,
    11.510,    5.71,
    11.531,    5.72,
    11.552,    5.74,
    11.573,    5.77,
    11.594,    5.78,
    11.615,    5.78,
    11.636,    5.79,
    11.657,    5.77,
    11.678,    5.75,
    11.699,    5.74,
    11.720,    5.72,
    11.741,    5.71,
    11.762,    5.68,
    11.783,    5.67,
    11.804,    5.65,
    11.825,    5.64,
    11.846,    5.62,
    11.867,    5.61,
    11.888,    5.59,
    11.909,    5.58,
    11.930,    5.57,
    11.951,    5.58,
    11.972,    5.58,
    11.993,    5.59,
    12.014,    5.59,
    12.035,    5.60,
    12.056,    5.61,
    12.077,    5.63,
    12.098,    5.63,
    12.119,    5.65,
    12.140,    5.66,
    12.161,    5.68,
    12.182,    5.68,
    12.203,    5.68,
    12.224,    5.68,
    12.245,    5.68,
    12.266,    5.67,
    12.287,    5.67,
    12.308,    5.67,
    12.329,    5.67,
    12.350,    5.68,
    12.371,    5.68,
    12.392,    5.69,
    12.413,    5.70,
    12.434,    5.71,
    12.455,    5.72,
    12.476,    5.73,
    12.497,    5.75,
    12.518,    5.77,
    12.539,    5.78,
    12.560,    5.79,
    12.581,    5.79,
    12.602,    5.80,
    12.623,    5.81,
    12.644,    5.81,
    12.665,    5.82,
    12.686,    5.83,
    12.707,    5.83,
    12.728,    5.84,
    12.749,    5.84,
    12.770,    5.84,
    12.791,    5.84,
    12.812,    5.85,
    12.833,    5.85,
    12.854,    5.85,
    12.875,    5.85,
    12.896,    5.84,
    12.917,    5.84,
    12.938,    5.84,
    12.959,    5.83,
    12.980,    5.83,
    13.001,    5.82,
    13.022,    5.82,
    13.043,    5.82,
    13.064,    5.82,
    13.085,    5.82,
    13.106,    5.83,
    13.127,    5.83,
    13.148,    5.84,
    13.169,    5.84,
    13.190,    5.85,
    13.211,    5.85,
    13.232,    5.85,
    13.253,    5.86,
    13.274,    5.86,
    13.295,    5.86,
    13.316,    5.86,
    13.337,    5.86,
    13.358,    5.86,
    13.379,    5.87,
    13.400,    5.88,
    13.421,    5.89,
    13.442,    5.90,
    13.463,    5.91,
    13.484,    5.92,
    13.505,    5.94,
    13.526,    5.95,
    13.547,    5.96,
    13.568,    5.98,
    13.589,    6.00,
    13.610,    6.01,
    13.631,    6.03,
    13.652,    6.04,
    13.673,    6.05,
    13.694,    6.06,
    13.715,    6.06,
    13.736,    6.06,
